name,id,lat,lon,capacity,number,Hyde Park Marble Arch_lat,Hyde Park Marble Arch_lon,Hyde Park Park Lane_lat,Hyde Park Park Lane_lon,Hyde Park Queen Elizabeth Gate_lat,Hyde Park Queen Elizabeth Gate_lon,Hyde Park White Horse Gate_lat,Hyde Park White Horse Gate_lon,Hyde Park Albert Gate_lat,Hyde Park Albert Gate_lon,Hyde Park Alexandra Gate_lat,Hyde Park Alexandra Gate_lon,Serpentine Bridge South_lat,Serpentine Bridge South_lon,Serpentine Bridge North_lat,Serpentine Bridge North_lon,Hyde Park Victoria Gate_lat,Hyde Park Victoria Gate_lon,Kensington Gardens Albert Memorial Gate_lat,Kensington Gardens Albert Memorial Gate_lon,Kensington Gardens Queen Gate_lat,Kensington Gardens Queen Gate_lon,Kensington Gardens Palace Gate_lat,Kensington Gardens Palace Gate_lon,Kensington Gardens Studio Gate_lat,Kensington Gardens Studio Gate_lon,Kensington Gardens Black Lion Gate_lat,Kensington Gardens Black Lion Gate_lon,Kensington Gardens Lancaster Gate_lat,Kensington Gardens Lancaster Gate_lon,Kensington Gardens Marlborough Gate_lat,Kensington Gardens Marlborough Gate_lon,The Regent's Park Monkey Gate_lat,The Regent's Park Monkey Gate_lon,The Regent's Park St. Mark's Gate_lat,The Regent's Park St. Mark's Gate_lon,The Regent's Park Chester Gate_lat,The Regent's Park Chester Gate_lon,The Regent's Park St. Andrew's Gate_lat,The Regent's Park St. Andrew's Gate_lon,The Regent's Park York Gate_lat,The Regent's Park York Gate_lon,The Regent's Park Clarence Gate_lat,The Regent's Park Clarence Gate_lon,The Regent's Park Hanover Gate_lat,The Regent's Park Hanover Gate_lon,Battersea Park Sopwith Way_lat,Battersea Park Sopwith Way_lon,Battersea Park Rosery Gate_lat,Battersea Park Rosery Gate_lon,Battersea Park Sun Gate_lat,Battersea Park Sun Gate_lon,Battersea Park Albert Gate_lat,Battersea Park Albert Gate_lon,Green Park Devonshire Gates_lat,Green Park Devonshire Gates_lon,Green Park Canada Gate_lat,Green Park Canada Gate_lon,Green Park Wellington Arch_lat,Green Park Wellington Arch_lon,St. James's Park Marlborough Gate_lat,St. James's Park Marlborough Gate_lon,St. James's Park Waterloo Place Gate_lat,St. James's Park Waterloo Place Gate_lon,St. James's Park Storey's Gate_lat,St. James's Park Storey's Gate_lon,St. James's Park Queen Anne's Gate_lat,St. James's Park Queen Anne's Gate_lon,St. James's Park Buckingham Gate_lat,St. James's Park Buckingham Gate_lon,Victoria Park Cricketer's Gate_lat,Victoria Park Cricketer's Gate_lon,Victoria Park Bonner Gate_lat,Victoria Park Bonner Gate_lon,Victoria Park St Agnes Gate_lat,Victoria Park St Agnes Gate_lon,Victoria Park Royal Gate West_lat,Victoria Park Royal Gate West_lon,Victoria Park Queen's Gate_lat,Victoria Park Queen's Gate_lon,Victoria Park Cadogan Gate_lat,Victoria Park Cadogan Gate_lon,Victoria Park Lockhouse Gate_lat,Victoria Park Lockhouse Gate_lon,Victoria Park Gunmaker's Gate_lat,Victoria Park Gunmaker's Gate_lon,Mile End Park Thoydon Road_lat,Mile End Park Thoydon Road_lon,Mile End Park Art Pavilion_lat,Mile End Park Art Pavilion_lon,Mile End Park Stadium_lat,Mile End Park Stadium_lon,Mile End Park Pavilion_lat,Mile End Park Pavilion_lon,Mile End Park Football Pitch_lat,Mile End Park Football Pitch_lon,Mile End Park Solebay Street_lat,Mile End Park Solebay Street_lon,Holland Park Abbotsbury Gate_lat,Holland Park Abbotsbury Gate_lon,Holland Park Ilchester Gate_lat,Holland Park Ilchester Gate_lon,Holland Park Duchess of Bedford_lat,Holland Park Duchess of Bedford_lon,Lincoln's Inn Fields West_lat,Lincoln's Inn Fields West_lon,Lincoln's Inn Fields South_lat,Lincoln's Inn Fields South_lon,Geraldine Mary Harmsworth Park West_lat,Geraldine Mary Harmsworth Park West_lon,Geraldine Mary Harmsworth Park North_lat,Geraldine Mary Harmsworth Park North_lon,Geraldine Mary Harmsworth Park East_lat,Geraldine Mary Harmsworth Park East_lon,Queen Elizabeth Olympic Park Here East North_lat,Queen Elizabeth Olympic Park Here East North_lon,Queen Elizabeth Olympic Park Here East South_lat,Queen Elizabeth Olympic Park Here East South_lon,Queen Elizabeth Olympic Park Copper_lat,Queen Elizabeth Olympic Park Copper_lon,Queen Elizabeth Olympic Park Bassett_lat,Queen Elizabeth Olympic Park Bassett_lon,Queen Elizabeth Olympic Park Blossom_lat,Queen Elizabeth Olympic Park Blossom_lon,Queen Elizabeth Olympic Park Thornton Bridge_lat,Queen Elizabeth Olympic Park Thornton Bridge_lon,Queen Elizabeth Olympic Park Aquatic Centre_lat,Queen Elizabeth Olympic Park Aquatic Centre_lon
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678,17,44,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Park Lane , Hyde Park",111,51.5100172,-0.157275636,28,493,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Stonecutter Street, Holborn",112,51.51580998,-0.105270275,21,4,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032,19,54,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647,22,204,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Braham Street, Aldgate",115,51.51423368,-0.073537654,34,62,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Little Argyll Street, West End",116,51.51449962,-0.141423695,21,121,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Lollard Street, Vauxhall",117,51.49288067,-0.114934001,25,87,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Rochester Row, Westminster",118,51.49582705,-0.13547809,13,23,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Bath Street, St. Luke's",119,51.52589324,-0.090847761,18,69,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"The Guildhall, Guildhall",120,51.51573534,-0.093080779,17,9,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Baker Street, Marylebone",121,51.51891348,-0.156166631,22,13,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
"Norton Folgate, Liverpool Street",122,51.52111369,-0.078869751,23,27,51.512123,-0.1586827,51.5109028,-0.158005,51.5041337,-0.1524213,51.5026335,-0.1558361,51.5025727,-0.1585149,51.5018811,-0.1744819,51.5054813,-0.1732657,51.5073905,-0.1705236,51.5118744,-0.1722944,51.5016753,-0.1775404,51.5016475,-0.1802499,51.5018785,-0.1842831,51.5041396,-0.1883208,51.5101057,-0.1877979,51.5108307,-0.1802107,51.5114584,-0.1759013,51.5350205,-0.1588102,51.5365233,-0.1522492,51.527675,-0.145941,51.5253561,-0.1459242,51.5246178,-0.1531794,51.5247379,-0.1582237,51.5284022,-0.1656463,51.4814168,-0.1493568,51.4780949,-0.1491022,51.4749682,-0.1632981,51.4795697,-0.1652503,51.5056458,-0.1446569,51.5025228,-0.1413367,51.5026138,-0.1494927,51.5035088,-0.1358678,51.5055999,-0.1312245,51.5013009,-0.130724,51.5009187,-0.1338508,51.5004881,-0.1384382,51.5322659,-0.0442784,51.533753,-0.0489404,51.53642,-0.0512627,51.5363758,-0.0435866,51.5413908,-0.0380192,51.5422655,-0.0289778,51.5385063,-0.0295653,51.536073,-0.0343179,51.5298209,-0.0392673,51.5274837,-0.036755,51.5196033,-0.0311399,51.5162775,-0.0293978,51.5184496,-0.0347028,51.5228625,-0.0363068,51.5007522,-0.2053688,51.5007849,-0.2028301,51.5024333,-0.2008001,51.5159357,-0.1179565,51.515645,-0.1161882,51.4955721,-0.1107529,51.4971605,-0.1085711,51.4960292,-0.1060473,51.549027,-0.0221174,51.5475346,-0.0208302,51.5454079,-0.0189677,51.5411147,-0.0184828,51.5465667,-0.0152576,51.5382276,-0.0115739,51.5409731,-0.0111674
